ID|name|赛季|球队|场次|首发|时间|投篮|命中率|三分|命中率|罚球|命中率|篮板|助攻|抢断|盖帽|失误|犯规|得分
10004|伯瑞斯-迪奥(Boris Diaw)|2013|马刺|79|24|25.0|3.8-7.3|52.1%|0.6-1.4|40.2%|0.9-1.2|73.9%|4.1|2.8|0.56|0.41|1.53|1.77|9.1
10005|马努-吉诺比利(Manu Ginobili)|2002|马刺|69|5|20.7|2.5-5.8|43.8%|0.7-2.1|34.5%|1.8-2.5|73.7%|2.3|2.0|1.39|0.25|1.45|2.46|7.6
10005|马努-吉诺比利(Manu Ginobili)|2003|马刺|77|38|29.4|4.3-10.2|41.8%|1.1-3.2|35.9%|3.1-3.9|80.2%|4.5|3.8|1.77|0.21|2.09|2.35|12.8
10005|马努-吉诺比利(Manu Ginobili)|2004|马刺|74|74|29.6|5.0-10.5|47.1%|1.3-3.5|37.6%|4.8-6.0|80.3%|4.4|3.9|1.61|0.36|2.32|2.57|16.0
10005|马努-吉诺比利(Manu Ginobili)|2005|马刺|65|56|27.9|4.8-10.3|46.2%|1.3-3.3|38.2%|4.3-5.5|77.8%|3.5|3.6|1.55|0.40|1.86|2.40|15.1
10005|马努-吉诺比利(Manu Ginobili)|2006|马刺|75|36|27.5|5.3-11.4|46.4%|1.7-4.3|39.6%|4.3-5.0|86.0%|4.4|3.5|1.45|0.36|2.09|2.07|16.5
10005|马努-吉诺比利(Manu Ginobili)|2007|马刺|74|23|31.1|6.1-13.3|46.0%|2.1-5.3|40.1%|5.1-6.0|86.0%|4.8|4.5|1.47|0.45|2.70|2.34|19.5
10005|马努-吉诺比利(Manu Ginobili)|2008|马刺|44|7|26.8|5.1-11.2|45.4%|1.6-4.8|33.0%|3.8-4.3|88.4%|4.5|3.6|1.45|0.36|2.00|2.05|15.5
10005|马努-吉诺比利(Manu Ginobili)|2009|马刺|75|21|28.7|5.3-12.0|44.1%|1.8-4.7|37.7%|4.1-4.7|87.0%|3.8|4.9|1.37|0.32|2.05|2.05|16.5
10005|马努-吉诺比利(Manu Ginobili)|2010|马刺|80|79|30.3|5.5-12.7|43.3%|1.9-5.5|34.9%|4.5-5.1|87.1%|3.7|4.9|1.54|0.35|2.17|2.04|17.4
10005|马努-吉诺比利(Manu Ginobili)|2011|马刺|34|7|23.3|4.4-8.4|52.6%|1.5-3.7|41.3%|2.6-3.0|87.1%|3.4|4.4|0.71|0.35|1.88|1.65|12.9
10005|马努-吉诺比利(Manu Ginobili)|2012|马刺|60|0|23.2|3.8-9.0|42.5%|1.4-3.9|35.3%|2.7-3.4|79.6%|3.4|4.6|1.33|0.22|2.20|1.90|11.8
10005|马努-吉诺比利(Manu Ginobili)|2013|马刺|68|3|22.8|4.3-9.2|46.9%|1.3-3.8|34.9%|2.4-2.8|85.1%|3.0|4.3|1.03|0.25|2.04|1.88|12.3
10006|丹尼-格林(Danny Green)|2009|骑士|20|0|5.8|0.8-1.9|38.5%|0.3-1.1|27.3%|0.2-0.3|66.7%|0.8|0.2|0.30|0.15|0.25|0.45|2.0
10006|丹尼-格林(Danny Green)|2010|马刺|8|0|11.5|2.1-4.4|48.6%|0.9-2.4|36.8%|0.0-0.0|0.0%|1.9|0.2|0.25|0.12|0.62|0.88|5.1
10006|丹尼-格林(Danny Green)|2011|马刺|66|38|23.1|3.2-7.2|44.2%|1.5-3.5|43.6%|1.2-1.5|79.0%|3.5|1.3|0.88|0.70|1.02|1.62|9.1
10006|丹尼-格林(Danny Green)|2012|马刺|80|80|27.5|3.7-8.3|44.8%|2.2-5.2|42.9%|0.8-1.0|84.8%|3.0|1.8|1.15|0.68|1.18|1.55|10.5
10006|丹尼-格林(Danny Green)|2013|马刺|68|59|24.3|3.2-7.4|43.2%|1.9-4.7|41.5%|0.7-0.9|79.4%|3.4|1.5|0.96|0.90|1.12|1.57|9.1
10007|帕蒂-米尔斯(Patty Mills)|2009|开拓者|10|0|3.8|1.0-2.4|41.7%|0.2-0.4|50.0%|0.4-0.7|57.1%|0.2|0.5|0.00|0.00|0.40|0.60|2.6
10007|帕蒂-米尔斯(Patty Mills)|2010|开拓者|64|0|12.2|2.1-5.1|41.2%|0.7-2.1|35.3%|0.6-0.7|76.6%|0.8|1.7|0.42|0.02|0.97|0.98|5.5
10007|帕蒂-米尔斯(Patty Mills)|2011|马刺|16|3|16.3|3.9-8.1|48.5%|1.5-3.5|42.9%|0.9-0.9|100.0%|1.8|2.4|0.62|0.06|1.62|0.88|10.3
10007|帕蒂-米尔斯(Patty Mills)|2012|马刺|58|2|11.3|1.9-4.2|46.9%|0.9-2.2|40.0%|0.3-0.3|84.2%|0.9|1.1|0.45|0.07|0.67|0.95|5.1
10007|帕蒂-米尔斯(Patty Mills)|2013|马刺|81|2|18.9|3.8-8.2|46.4%|1.7-3.9|42.5%|0.9-1.0|89.0%|2.1|1.8|0.84|0.11|0.78|1.41|10.2
10008|科怀-伦纳德(Kawhi Leonard)|2011|马刺|64|39|24.0|3.1-6.3|49.3%|0.6-1.7|37.6%|1.1-1.4|77.3%|5.1|1.1|1.33|0.38|0.69|1.38|7.9
10008|科怀-伦纳德(Kawhi Leonard)|2012|马刺|58|57|31.2|4.5-9.1|49.4%|1.1-3.0|37.4%|1.8-2.2|82.5%|6.0|1.6|1.67|0.55|1.07|1.71|11.9
10008|科怀-伦纳德(Kawhi Leonard)|2013|马刺|66|65|29.1|5.1-9.8|52.2%|1.0-2.8|37.9%|1.5-1.9|80.2%|6.2|2.0|1.73|0.76|1.21|1.92|12.8
10009|马科-贝里内利(Marco Belinelli)|2007|勇士|33|0|7.3|1.1-2.8|38.7%|0.5-1.2|39.0%|0.2-0.3|77.8%|0.4|0.5|0.15|0.00|0.36|0.45|2.9
10009|马科-贝里内利(Marco Belinelli)|2008|勇士|42|23|21.0|3.3-7.5|44.2%|1.2-3.1|39.7%|1.0-1.2|76.9%|1.7|2.1|0.86|0.02|1.40|1.74|8.9
10009|马科-贝里内利(Marco Belinelli)|2009|猛龙|66|1|17.0|2.3-5.7|40.6%|0.9-2.4|38.0%|1.5-1.8|83.5%|1.4|1.3|0.64|0.08|0.91|1.21|7.1
