ID|name|website|profile|heigh|position|weight|birth|team|school|xuanxiu|born|salary|contract|regular race|season race
10336|Mike Muscal|http://g.hupu.com/nba/players/mikemuscala-4777.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/4777_289.jpg|2.11|C|108|305|亚特兰大老鹰|Bucknell|2013年第2轮第14顺位|美国|81|3年底薪，2014/2/28签，2016夏到期★部分保障合同|1|1
10337|Kent Bazemor|http://g.hupu.com/nba/players/kentbazemore-4863.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/4863.jpg|1.96|G/F|91|329|亚特兰大老鹰|老道明大学||美国|78|2年底薪，2012/7/27签，2014夏到期★13-14赛季无保障|4|1
10338|Shelvin Mac|http://g.hupu.com/nba/players/shelvinmack-3588.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/3588_558.jpg|1.91|PG|94|320|亚特兰大老鹰|巴特勒大学|2011年第2轮第4顺位|美国|0|受限自由球员|6|2
10339|Adreian Payn|http://g.hupu.com/nba/players/adreianpayne-4921.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/4921_404.jpg|2.08|PF|111|310|亚特兰大老鹰|密歇根州立大学|2014年第1轮第15顺位|美国|0|未签约新秀|0|0
10340|Mike Scot|http://g.hupu.com/nba/players/mikescott-3680.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/3680.jpg|2.03|PF|107|341|亚特兰大老鹰|弗吉尼亚大学|2012年第2轮第13顺位|美国|0|受限自由球员|2|2
10341|John Wal|http://g.hupu.com/nba/players/johnwall-3449.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/3449.jpg|1.93|PG|88|315|华盛顿奇才|肯塔基大学|2010年第1轮第1顺位|美国|1474|5年8478万，2013/8/1签，2014夏生效，2019夏到期|4|1
10342|Nene Hilari|http://g.hupu.com/nba/players/nenehilario-253.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/253.jpg|2.11|F/C|113|411|华盛顿奇才||2002年第1轮第7顺位|巴西|1300|5年6700万美元，2011/12/14签，2016夏到期|14|8
10343|Marcin Gorta|http://g.hupu.com/nba/players/marcingortat-1447.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/1447_839.jpg|2.11|C|109|394|华盛顿奇才||2005年第2轮第27顺位|波兰|1043|5年6000万，2014/7/10签，2019夏到期|9|4
10344|Martell Webste|http://g.hupu.com/nba/players/martellwebster-1034.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/1034.jpg|2.01|G/F|107|360|华盛顿奇才||2005年第1轮第6顺位|美国|538|4年2200万，2013/7/10签，2017夏到期|9|2
10345|Paul Pierc|http://g.hupu.com/nba/players/paulpierce-35.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/35_522.jpg|2.01|F|107|470|华盛顿奇才|堪萨斯大学|1998年第1轮第10顺位|美国|530|2年1084万，2014/7/16签，2016夏到期，2015夏球员选项|16|11
10346|Andre Mille|http://g.hupu.com/nba/players/andremiller-254.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/254_319.jpg|1.88|G|91|489|华盛顿奇才|犹他大学|1999年第1轮第8顺位|美国|462|3年1460万美元，2012/7/12签，2015夏到期|19|10
10347|Bradley Bea|http://g.hupu.com/nba/players/bradleybeal-3640.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/3640.jpg|1.96|SG|94|282|华盛顿奇才|佛罗里达大学|2012年第1轮第3顺位|美国|450|4年1865万，2012/7/9签，2016夏到期，2015夏球队选项|2|1
10348|Otto Porter Jr|http://g.hupu.com/nba/players/ottoporterjr-4838.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/4838.jpg|2.03|SF|93|282|华盛顿奇才|乔治城大学|2013年第1轮第3顺位|美国|447|4年1930万，2013/7/8签，2017夏到期，15&amp;16夏球队选项|1|1
10349|Kris Humphrie|http://g.hupu.com/nba/players/krishumphries-739.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/739_900.png|2.06|F/C|107|382|华盛顿奇才|明尼苏达大学|2004年第1轮第14顺位|美国|425|3年1300万，2014/7/19签，2017夏到期，2016夏球队选项|12|3
10350|DeJuan Blai|http://g.hupu.com/nba/players/dejuanblair-3316.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/3316_879.jpg|2.01|F/C|118|332|华盛顿奇才|匹兹堡大学|2009年第2轮第7顺位|美国|200|3年600万，2014/7/17签，2017夏到期，2016夏球队选项|5|5
10351|Drew Goode|http://g.hupu.com/nba/players/drewgooden-844.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/844.jpg|2.08|F/C|113|423|华盛顿奇才|堪萨斯大学|2002年第1轮第4顺位|美国|144|1年底薪，2014/7/15签，2015夏到期|21|5
10352|Rasual Butle|http://g.hupu.com/nba/players/rasualbutler-1078.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/1078_818.jpg|2.01|G/F|100|451|华盛顿奇才|拉塞尔大学|2002年第2轮第24顺位|美国|140|1年底薪，2013/9/5签，2014夏到期★无保障合同|13|5
10353|Garrett Templ|http://g.hupu.com/nba/players/garretttemple-3440.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/3440_486.jpg|1.98|G|88|367|华盛顿奇才|路易斯安那州立大学||美国|88|1年90万，2013/7/10签，2014夏到期|10|2
10354|Glen Rice Jr|http://g.hupu.com/nba/players/glenricejr-4839.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/4839_313.jpg|1.98|G/F|98|311|华盛顿奇才|乔治亚理工大学|2013年第2轮第5顺位|美国|81|2年底薪，2013/7/8签，2015夏到期★部分保障合同|1|0
10355|Kevin Seraphi|http://g.hupu.com/nba/players/kevinseraphin-3465.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/3465.jpg|2.06|F/C|125|324|华盛顿奇才||2010年第1轮第17顺位|法国|0|受限自由球员|4|1
10356|Al Jefferso|http://g.hupu.com/nba/players/aljefferson-827.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/827_978.jpg|2.08|F/C|131|383|夏洛特黄蜂||2004年第1轮第15顺位|美国|1350|3年4050万，2013/7/10签，2016夏到期，2015夏球员选项|10|3
10357|Lance Stephenso|http://g.hupu.com/nba/players/lancestephenson-3488.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/3488_338.png|1.96|G/F|103|315|夏洛特黄蜂|辛辛那提大学|2010年第2轮第10顺位|美国|900|3年2750万，2014/7/20签，2017夏到期，2016夏球队选项|4|3
10358|Marvin William|http://g.hupu.com/nba/players/marvinwilliams-1054.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/1054_357.png|2.06|F|107|366|夏洛特黄蜂|北卡罗莱纳大学|2005年第1轮第2顺位|美国|700|2年1400万，2014/7/22签，2016夏到期|9|5
10359|Gerald Henderso|http://g.hupu.com/nba/players/geraldhenderson-3308.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/3308.jpg|1.96|G/F|98|348|夏洛特黄蜂|杜克大学|2009年第1轮第12顺位|美国|600|3年1800万，2013/7/30签，2016夏到期，2015夏球员选项|5|1
10360|Michael Kidd-Gilchris|http://g.hupu.com/nba/players/michaelkiddgilchrist-3639.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/3639.jpg|2.01|SF|105|279|夏洛特黄蜂|肯塔基大学|2012年第1轮第2顺位|美国|501|4年2076万，2012/7/8签，2016夏到期，2015夏球队选项|2|1
10361|Cody Zelle|http://g.hupu.com/nba/players/codyzeller-4842.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/4842.jpg|2.13|F/C|109|290|夏洛特黄蜂|印第安纳大学|2013年第1轮第4顺位|美国|403|4年1740万，2013/7/11签，2017夏到期，15&amp;16夏球队选项|1|1
10362|Bismack Biyomb|http://g.hupu.com/nba/players/bismackbiyombo-3560.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/3560.jpg|2.06|C|111|292|夏洛特黄蜂||2011年第1轮第7顺位|刚果|387|4年1092万美元，2011/12/19签，2015夏到期|3|1
10363|Kemba Walke|http://g.hupu.com/nba/players/kembawalker-3562.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/3562.jpg|1.85|PG|83|319|夏洛特黄蜂|康涅狄格大学|2011年第1轮第9顺位|美国|327|4年1105万美元，2011/12/11签，2015夏到期|3|1
10364|Gary Nea|http://g.hupu.com/nba/players/garyneal-3512.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/3512_150.jpg|1.93|G|95|386|夏洛特黄蜂|陶森大学||美国|325|2年650万，2013/7/30签，2015夏到期|6|4
10365|Brian Robert|http://g.hupu.com/nba/players/brianroberts-3713.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/3713_269.png|1.85|G|78|372|夏洛特黄蜂|戴顿大学||美国|273|2年558万，2014/7/24签，2016夏到期|2|0
10366|Jason Maxiel|http://g.hupu.com/nba/players/jasonmaxiell-1044.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/1044_931.jpg|2.01|PF|118|406|夏洛特黄蜂|辛辛那提大学|2005年第1轮第26顺位|美国|250|2年500万，2013/7/17签，2015夏到期，2014夏球队选项|9|3
10367|Jannero Parg|http://g.hupu.com/nba/players/janneropargo-336.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/336_843.jpg|1.85|PG|84|446|夏洛特黄蜂|阿肯色大学||美国|140|1年底薪，2013/8/10签，2014夏到期|16|7
10368|Jeffery Taylo|http://g.hupu.com/nba/players/jefferytaylor-3668.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/3668.jpg|2.01|G/F|102|331|夏洛特黄蜂|范德堡大学|2012年第2轮第1顺位|瑞典|91|3年228万，2012/7/14签，2015夏到期|2|0
10369|Noah Vonle|http://g.hupu.com/nba/players/noahvonleh-4965.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/4965_735.png|2.08|PF|109|256|夏洛特黄蜂|印第安纳大学|2014年第1轮第9顺位|美国|0|未签约新秀|0|0
10370|P.J. Hairsto|http://g.hupu.com/nba/players/pjhairston-4966.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/4966_895.jpg|1.98|SG|100|288|夏洛特黄蜂|北卡罗莱纳大学|2014年第1轮第26顺位|美国|0|未签约新秀|0|0
10371|Chris Bos|http://g.hupu.com/nba/players/chrisbosh-419.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/419.jpg|2.11|F/C|107|393|迈阿密热火|乔治亚理工大学|2003年第1轮第4顺位|美国|2064|五年1.18亿美元，将于2019年夏天成为自由球员|11|6
10372|Dwyane Wad|http://g.hupu.com/nba/players/dwyanewade-50.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/50.jpg|1.93|G|100|419|迈阿密热火|马奎特大学|2003年第1轮第5顺位|美国|1500|2年3112万，2014/7/16签，2016夏到期，2015夏球员选项★拥有不可交易条款|11|10
10373|Luol Den|http://g.hupu.com/nba/players/luoldeng-545.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/545_955.jpg|2.06|F|100|380|迈阿密热火|杜克大学|2004年第1轮第7顺位|Sudan|971|2年1986万，2014/7/16签，2016夏到期|12|6
10374|Chris Anderse|http://g.hupu.com/nba/players/chrisandersen-526.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/526_965.jpg|2.08|F/C|111|461|迈阿密热火|Blinn (TX) JC||美国|538|两年1037万，2016年夏天到期|12|6
10375|Josh McRobert|http://g.hupu.com/nba/players/joshmcroberts-1214.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/1214_737.jpg|2.08|F/C|109|358|迈阿密热火|杜克大学|2007年第2轮第7顺位|美国|530|4年2265万美元，2014/7/15签，2018夏到期，2017夏球员选项|9|3
10376|Mario Chalmer|http://g.hupu.com/nba/players/mariochalmers-3040.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/3040.jpg|1.88|PG|86|367|迈阿密热火|堪萨斯大学|2008年第2轮第4顺位|美国|400|2年830万美元，2014/7/16签，2016夏到期|6|6
10377|Udonis Hasle|http://g.hupu.com/nba/players/udonishaslem-54.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/54.jpg|2.03|PF|107|438|迈阿密热火|佛罗里达大学||美国|270|2年560万，2014/7/19签，2016夏到期|11|10
10378|Danny Grange|http://g.hupu.com/nba/players/dannygranger-1042.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/1042_211.jpg|2.06|SF|101|404|迈阿密热火|新墨西哥大学|2005年第1轮第17顺位|美国|207|2年424，2014/7/15签，2016夏到期，2015夏球员选项|11|4
10379|Norris Col|http://g.hupu.com/nba/players/norriscole-3581.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/3581.jpg|1.88|PG|79|338|迈阿密热火|克利夫兰州立大学|2011年第1轮第28顺位|美国|203|4年549万美元，2011/12/12签，2015夏到期|3|3
10380|Shannon Brow|http://g.hupu.com/nba/players/shannonbrown-1248.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/1248.jpg|1.91|SG|98|373|迈阿密热火|密歇根州立大学|2006年第1轮第25顺位|美国|131|2年底薪，2014/3/21签，2015夏到期★无保障合同|14|4
10381|Shabazz Napie|http://g.hupu.com/nba/players/shabazznapier-4910.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/4910_298.png|1.85|PG|79|305|迈阿密热火|康涅狄格大学|2014年第1轮第24顺位|美国|124|四年624万，2018年夏天到期，2016-17、2017-18赛季球队选项|0|0
10382|Shawne William|http://g.hupu.com/nba/players/shawnewilliams-1245.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/1245_630.jpg|2.08|F|104|370|迈阿密热火|孟菲斯大学|2006年第1轮第17顺位|美国|123|两年249万，第二年非保障，2016年夏天到期|6|1
10383|Justin Hamilto|http://g.hupu.com/nba/players/justinhamilton-3682.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/3682_334.jpg|2.13|C|116|320|迈阿密热火|路易斯安那州立大学|2012年第2轮第15顺位|美国|81|2年底薪，2014/3/14签，2015夏到期★无保障合同|3|0
10384|James Enni|http://g.hupu.com/nba/players/jamesennis-4804.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/4804_995.jpg|2.01|G/F|95|317|迈阿密热火|Long Beach State|2013年第2轮第20顺位|美国|50|3年底薪，2014/7/16签，2017夏到期★部分保障合同|0|0
10385|Andre Dawkin|http://g.hupu.com/nba/players/andredawkins-4999.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/4999_108.png|1.93|SG|93|303|迈阿密热火|杜克大学||美国|0||0|0
10386|Channing Fry|http://g.hupu.com/nba/players/channingfrye-1029.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/1029_972.png|2.11|F/C|116|403|奥兰多魔术|亚利桑那大学|2005年第1轮第8顺位|美国|857|4年3200万，2014/7/15签，2018夏到期|8|2
10387|Victor Oladip|http://g.hupu.com/nba/players/victoroladipo-4819.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/4819_936.jpg|1.93|G|95|295|奥兰多魔术|印第安纳大学|2013年第1轮第2顺位|美国|497|4年2138万，2013/7/7签，2017夏到期，15&amp;16夏球队选项|1|0
10388|Ben Gordo|http://g.hupu.com/nba/players/bengordon-543.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/543_950.png|1.91|SG|93|404|奥兰多魔术|康涅狄格大学|2004年第1轮第3顺位|英格兰|450|2年900万，2014/7/11签，2016夏到期★15-16赛季无保障|10|4
