ID|name|website|profile|heigh|position|weight|birth|team|school|xuanxiu|born|salary|contract|regular race|season race
10028|Jon Leuer|http://g.hupu.com/nba/players/jonleuer-3592.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/3592_695.jpg|2.08|F/C(30号)|103|611074800.0|孟菲斯灰熊|威斯康星大学|2011年第2轮第10顺位|美国|96|3年290万，2013/7/15签，2016夏到期★15-16赛季无保障|5|2
10029|Nick Calathes|http://g.hupu.com/nba/players/nickcalathes-3348.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/3348_451.jpg|1.98|G(12号)|97|602784000.0|孟菲斯灰熊|佛罗里达大学|2009年第2轮第15顺位|美国|81|2年底薪，2013/8/21签，2015夏到期|1|0
10030|Jarnell Stokes|http://g.hupu.com/nba/players/jarnellstokes-4951.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/4951_896.jpg|2.06|PF(1号)|119|757872000.0|孟菲斯灰熊|田纳西大学|2014年第2轮第5顺位|美国||未签约新秀|0|0
10031|Dwight Howard|http://g.hupu.com/nba/players/dwighthoward-683.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/683_845.jpg|2.11|F/C(12号)|120|502819200.0|休斯顿火箭||2004年第1轮第1顺位|美国|2143|4年8800万，2013/7/13签，2017夏到期，2016夏提前结束合同选项★合同包括15%交易保证金|10|7
10032|James Harden|http://g.hupu.com/nba/players/jamesharden-3306.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/3306.jpg|1.96|G/F(13号)|100|620060400.0|休斯顿火箭|亚利桑那州立大学|2009年第1轮第3顺位|美国|1472|5年7850万，2012/11/1签，2013夏生效，2018夏到期★17-18赛季薪金只有50%受保障|5|5
10033|Trevor Ariza|http://g.hupu.com/nba/players/trevorariza-558.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/558_232.jpg|2.03|G/F(1号)|100|488908800.0|休斯顿火箭|加州大学洛杉矶分校|2004年第2轮第14顺位|美国|857|4年3200万，2014/7/14签，2018夏到期|14|5
10034|Jason Terry|http://g.hupu.com/nba/players/jasonterry-567.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/567_485.jpg|1.88|G(31号)|82|243100800.0|休斯顿火箭|亚利桑那大学|1999年第1轮第10顺位|美国|545|3年1567万，2012/7/19签，2015夏到期|15|9
10035|Kostas Papanikolaou|http://g.hupu.com/nba/players/kostaspapanikolaou-4997.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/4997_903.jpg|2.03|F(16号)|102|649350000.0|休斯顿火箭||2012年第2轮第18顺位|希腊|480|两年940万，2016年夏天到期，2015-16赛季球队选项|0|0
10036|Earl Clark|http://g.hupu.com/nba/players/earlclark-3329.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/3329_519.jpg|2.08|F(7号)|106|569347200.0|休斯顿火箭|路易斯维尔大学|2009年第1轮第14顺位|美国|425|2年850万，2013/7/13签，2015夏到期，2014夏球队选项|9|4
10037|Terrence Jones|http://g.hupu.com/nba/players/terrencejones-3655.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/3655.jpg|2.06|F(6号)|114|694886400.0|休斯顿火箭|肯塔基大学|2012年第1轮第18顺位|美国|161|4年714万，2012/7/26签，2016夏到期，2015夏球队选项|2|2
