ID|name|个人网址|个人头像|身高|位置|体重|生日|球队|学校|选秀|出生地|本赛季薪金|合同|常规赛参加情况|季后赛参加情况
10221|詹姆斯-萨瑟兰（James Southerland）|http://g.hupu.com/nba/players/jamessoutherland-4843.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/4843_970.png|2.03米/6尺8|SF（31号）|98公斤/215磅|1990-04-28|波特兰开拓者|雪城大学||美国|49万美元|1年底薪，2013/9/6签，2014夏到期|3|0
10222|尼古拉-佩科维奇（Nikola Pekovic）|http://g.hupu.com/nba/players/nikolapekovic-3077.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/3077.jpg|2.11米/6尺11|C（14号）|134公斤/295磅|1986-01-03|明尼苏达森林狼||2008年第2轮第1顺位|南斯拉夫|1210万美元|5年6000万，2013/8/15签，2018夏到期|4|0
10223|赛迪斯-杨（Thaddeus Young）|http://g.hupu.com/nba/players/thaddeusyoung-1237.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/1237_578.png|2.03米/6尺8|F（33号）|100公斤/220磅|1988-06-21|明尼苏达森林狼|乔治亚理工大学|2007年第1轮第12顺位|美国|941万美元|5年4300万美元，2011/12/11签，2016夏到期，2015夏提前终止合同选项|7|4
10224|凯文-马丁（Kevin Martin）|http://g.hupu.com/nba/players/kevinmartin-491.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/491_137.png|2.01米/6尺7|G/F（23号）|93公斤/204磅|1983-02-01|明尼苏达森林狼|西卡罗莱纳大学|2004年第1轮第26顺位|美国|679万美元|4年2775万，2013/7/11签，2017夏到期|12|2
10225|安德鲁-威金斯（Andrew Wiggins）|http://g.hupu.com/nba/players/andrewwiggins-4956.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/4956_127.png|2.03米/6尺8|SF（22号）|91公斤/200磅|1995-02-23|明尼苏达森林狼|堪萨斯大学|2014年第1轮第1顺位|加拿大|556万美元|4年2484万，2014/7/25签，2018夏到期★16-17、17-18赛季球队选项|0|0
10226|安东尼-本内特（Anthony Bennett）|http://g.hupu.com/nba/players/anthonybennett-4786.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/4786_967.jpg|2.03米/6尺8|F（24号）|111公斤/245磅|1993-03-14|明尼苏达森林狼|内华达大学拉斯维加斯分校|2013年第1轮第1顺位|加拿大|556万美元|4年2400万，2013/8/20签，2017夏到期，15&amp;16夏球队选项|1|0
10227|里基-卢比奥（Ricky Rubio）|http://g.hupu.com/nba/players/rickyrubio-3345.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/3345.jpg|1.93米/6尺4|PG（9号）|87公斤/192磅|1990-10-21|明尼苏达森林狼||2009年第1轮第5顺位|西班牙|507万美元|4年1629万美元，2011/5/31签，2015夏到期|3|0
10228|蔡斯-巴丁格（Chase Budinger）|http://g.hupu.com/nba/players/chasebudinger-3312.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/3312.jpg|2.01米/6尺7|G/F（10号）|95公斤/209磅|1988-05-22|明尼苏达森林狼|亚利桑那大学|2009年第2轮第14顺位|美国|500万美元|3年1500万，2013/7/13签，2016夏到期，2015夏球员选项|5|0
10229|科里-布鲁尔（Corey Brewer）|http://g.hupu.com/nba/players/coreybrewer-1355.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/1355_264.jpg|2.06米/6尺9|G/F（13号）|84公斤/185磅|1986-03-05|明尼苏达森林狼|佛罗里达大学|2007年第1轮第7顺位|美国|470万美元|3年1410万，2013/7/13签，2016夏到期，2015夏球员选项|9|3
10230|何塞-巴里亚（J.J. Barea）|http://g.hupu.com/nba/players/jjbarea-1318.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/1318.jpg|1.83米/6尺0|PG（11号）|83公斤/183磅|1984-06-26|明尼苏达森林狼|东北大学||Puerto Rico|451万美元|4年1800万美元，2011/12/15签，2015夏到期|8|5
10231|莫-威廉姆斯（Mo Williams）|http://g.hupu.com/nba/players/mowilliams-671.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/671_293.png|1.85米/6尺1|G（25号）|88公斤/195磅|1982-12-19|明尼苏达森林狼|阿拉巴马大学|2003年第2轮第18顺位|美国|260万美元|2年560万，2013/8/9签，2015夏到期，2014夏球员选项|13|5
10232|扎克-拉文（Zach LaVine）|http://g.hupu.com/nba/players/zachlavine-4911.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/4911_934.jpg|1.96米/6尺5|PG（8号）|83公斤/183磅|1995-03-10|明尼苏达森林狼|加州大学洛杉矶分校|2014年第1轮第13顺位|美国|205万美元|4年964万，2014/7/9签，2018夏到期，16&amp;17夏球队选项|0|0
10233|沙巴兹-穆罕默德（Shabazz Muhammad）|http://g.hupu.com/nba/players/shabazzmuhammad-4812.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/4812.jpg|1.98米/6尺6|SF（15号）|103公斤/227磅|1992-11-13|明尼苏达森林狼|加州大学洛杉矶分校|2013年第1轮第14顺位|美国|197万美元|4年896万，2013/7/12签，2017夏到期，15&amp;16夏球队选项|1|0
10234|罗尼-图里亚夫（Ronny Turiaf）|http://g.hupu.com/nba/players/ronnyturiaf-1056.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/1056_710.jpg|2.08米/6尺10|F/C（32号）|113公斤/249磅|1983-01-13|明尼苏达森林狼|冈萨加大学|2005年第2轮第7顺位|法国|150万美元|2年300万，2013/7/18签，2015夏到期|11|6
10235|戈尔吉-吉昂（Gorgui Dieng）|http://g.hupu.com/nba/players/gorguidieng-4813.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/4813.jpg|2.11米/6尺11|C（5号）|106公斤/233磅|1990-01-18|明尼苏达森林狼|路易斯维尔大学|2013年第1轮第21顺位|塞内加尔|141万美元|4年658万，2013/7/13签，2017夏到期，15&amp;16夏球队选项|1|0
